iter	Passed	Remaining
564	7086	5456
565	7100	5444
566	7114	5433
567	7128	5421
568	7143	5411
569	7157	5399
570	7171	5388
571	7185	5376
572	7199	5365
573	7213	5353
574	7229	5343
575	7245	5333
576	7259	5321
577	7273	5310
578	7287	5298
579	7302	5287
580	7316	5276
581	7330	5264
582	7344	5253
583	7359	5242
584	7373	5230
585	7387	5219
586	7402	5207
587	7415	5196
588	7430	5184
589	7445	5173
590	7459	5162
591	7473	5150
592	7487	5138
593	7500	5126
594	7513	5114
595	7527	5102
596	7541	5091
597	7556	5079
598	7571	5068
599	7585	5056
600	7601	5046
601	7616	5035
602	7630	5023
603	7644	5012
604	7659	5000
605	7671	4987
606	7685	4975
607	7699	4964
608	7713	4952
609	7726	4939
610	7739	4927
611	7754	4916
612	7769	4904
613	7783	4893
614	7797	4881
615	7810	4868
616	7824	4857
617	7839	4845
618	7853	4833
619	7867	4822
620	7882	4810
621	7898	4799
622	7912	4788
623	7926	4776
624	7939	4763
625	7954	4752
626	7967	4740
627	7980	4727
628	7993	4714
629	8006	4702
630	8020	4690
631	8034	4678
632	8048	4666
633	8062	4654
634	8076	4642
635	8090	4630
636	8104	4618
637	8118	4606
638	8132	4594
639	8146	4582
640	8161	4570
641	8175	4559
642	8188	4546
643	8204	4535
644	8217	4522
645	8231	4510
646	8244	4498
647	8258	4486
648	8272	4473
649	8285	4461
650	8300	4450
651	8315	4438
652	8329	4426
653	8344	4414
654	8357	4402
655	8371	4389
656	8384	4377
657	8398	4365
658	8411	4352
659	8425	4340
660	8439	4328
661	8452	4315
662	8465	4303
663	8481	4291
664	8496	4280
665	8511	4268
666	8525	4256
667	8540	4244
668	8553	4232
669	8568	4220
670	8581	4207
671	8596	4196
672	8611	4184
673	8625	4172
674	8639	4159
675	8653	4147
676	8667	4135
677	8682	4123
678	8696	4111
679	8710	4099
680	8726	4087
681	8741	4075
682	8756	4063
683	8770	4051
684	8783	4039
685	8798	4027
686	8812	4014
687	8826	4002
688	8839	3989
689	8852	3977
690	8866	3964
691	8880	3952
692	8895	3940
693	8909	3928
694	8922	3915
695	8937	3903
696	8950	3890
697	8964	3878
698	8978	3866
699	8993	3854
700	9008	3842
701	9022	3829
702	9036	3817
703	9051	3805
704	9065	3793
705	9080	3781
706	9094	3768
707	9109	3756
708	9123	3744
709	9139	3732
710	9153	3720
711	9167	3708
712	9181	3695
713	9194	3682
714	9208	3670
715	9222	3658
716	9237	3645
717	9250	3633
718	9264	3620
719	9278	3608
720	9292	3595
721	9308	3584
722	9321	3571
723	9335	3558
724	9349	3546
725	9363	3533
726	9378	3521
727	9392	3509
728	9407	3497
729	9421	3484
730	9436	3472
731	9451	3460
732	9465	3447
733	9480	3435
734	9494	3423
735	9508	3410
736	9522	3397
737	9535	3385
738	9549	3372
739	9564	3360
740	9578	3347
741	9592	3335
742	9605	3322
743	9620	3310
744	9635	3298
745	9650	3285
746	9664	3273
747	9678	3260
748	9692	3248
749	9707	3235
750	9722	3223
751	9737	3211
752	9752	3198
753	9765	3186
754	9779	3173
755	9793	3161
756	9809	3148
757	9823	3136
758	9836	3123
759	9848	3110
760	9862	3097
761	9875	3084
762	9889	3071
763	9904	3059
764	9918	3046
765	9933	3034
766	9946	3021
767	9960	3008
768	9975	2996
769	9989	2983
770	10004	2971
771	10019	2959
772	10033	2946
773	10047	2933
774	10060	2920
775	10074	2908
776	10088	2895
777	10102	2882
778	10117	2870
779	10132	2857
780	10146	2845
781	10160	2832
782	10174	2819
783	10189	2807
784	10203	2794
785	10217	2781
786	10232	2769
787	10245	2756
788	10260	2743
789	10274	2731
790	10288	2718
791	10301	2705
792	10316	2693
793	10330	2680
794	10343	2667
795	10357	2654
796	10371	2641
797	10385	2628
798	10399	2616
799	10413	2603
800	10426	2590
801	10441	2577
802	10456	2565
803	10471	2552
804	10485	2539
805	10499	2527
806	10513	2514
807	10527	2501
808	10541	2488
809	10555	2475
810	10569	2463
811	10582	2450
812	10597	2437
813	10611	2424
814	10625	2412
815	10640	2399
816	10654	2386
817	10668	2373
818	10684	2361
819	10697	2348
820	10710	2335
821	10724	2322
822	10737	2309
823	10752	2296
824	10766	2283
825	10777	2270
826	10790	2257
827	10803	2244
828	10815	2230
829	10827	2217
830	10840	2204
831	10851	2191
832	10863	2178
833	10876	2164
834	10890	2152
835	10901	2138
836	10912	2125
837	10923	2111
838	10934	2098
839	10945	2084
840	10957	2071
841	10968	2058
842	10979	2044
843	10990	2031
844	11000	2017
845	11012	2004
846	11023	1991
847	11035	1978
848	11046	1964
849	11057	1951
850	11068	1937
851	11079	1924
852	11089	1911
853	11100	1897
854	11111	1884
855	11122	1871
856	11132	1857
857	11142	1844
858	11153	1830
859	11164	1817
860	11175	1804
861	11186	1790
862	11198	1777
863	11208	1764
864	11218	1750
865	11227	1737
866	11238	1723
867	11248	1710
868	11257	1697
869	11269	1683
870	11279	1670
871	11289	1657
872	11300	1644
873	11313	1630
874	11323	1617
875	11335	1604
876	11346	1591
877	11356	1578
878	11366	1564
879	11379	1551
880	11392	1538
881	11404	1525
882	11415	1512
883	11426	1499
884	11437	1486
885	11449	1473
886	11459	1459
887	11471	1446
888	11483	1433
889	11494	1420
890	11505	1407
891	11516	1394
892	11527	1381
893	11537	1368
894	11548	1354
895	11558	1341
896	11569	1328
897	11581	1315
898	11592	1302
899	11602	1289
900	11612	1275
901	11622	1262
902	11633	1249
903	11643	1236
904	11653	1223
905	11664	1210
906	11676	1197
907	11687	1184
908	11697	1171
909	11708	1157
910	11718	1144
911	11728	1131
912	11738	1118
913	11750	1105
914	11762	1092
915	11773	1079
916	11784	1066
917	11795	1053
918	11805	1040
919	11815	1027
920	11826	1014
921	11835	1001
922	11845	988
923	11857	975
924	11870	962
925	11883	949
926	11896	936
927	11910	924
928	11922	911
929	11932	898
930	11944	885
931	11955	872
932	11967	859
933	11983	846
934	11994	833
935	12006	820
936	12016	807
937	12026	794
938	12037	781
939	12047	768
940	12057	755
941	12068	743
942	12078	730
943	12087	717
944	12096	704
945	12105	691
946	12113	677
947	12122	664
948	12131	651
949	12140	638
950	12148	625
951	12156	612
952	12165	599
953	12176	587
954	12186	574
955	12195	561
956	12203	548
957	12211	535
958	12220	522
959	12229	509
960	12237	496
961	12246	483
962	12254	470
963	12263	457
964	12272	445
965	12280	432
966	12289	419
967	12298	406
968	12306	393
969	12315	380
970	12323	368
971	12332	355
972	12340	342
973	12349	329
974	12357	316
975	12366	304
976	12374	291
977	12385	278
978	12393	265
979	12402	253
980	12410	240
981	12417	227
982	12425	214
983	12433	202
984	12442	189
985	12450	176
986	12458	164
987	12467	151
988	12475	138
989	12485	126
990	12493	113
991	12501	100
992	12509	88
993	12517	75
994	12526	62
995	12534	50
996	12543	37
997	12551	25
998	12559	12
999	12567	0
